,0
0,"Пацан высказался, потом делом подтвердил слова. Когда не смог – повторил предложение."
1,Цена пацана измеряется выполнением его обещаний.
2,"Я не матерюсь, а лишь употребляю ненормативную лексику в целях более полного выражения своих эмоций!"
3,"Самое позорное для пацана - поливать грязью ту, с которой делил постель, ел за одним столом и жил несколько лет."
4,"Шесть лет не пил, не курил, по бабам не шлялся, а потом мамка в школу отдала и понеслось!!!"
5,"Есть люди, которые меня ненавидят. Пусть ненавидят. Есть люди, которые меня любят. Пусть любят. А есть люди, которые меня ненавидят, а делают вид что любят. Вот таких ненавижу я!"
6,Познакомлюсь с тремя-четырьмя девушками для серьёзных отношений.
7,"Пусть лучше меня ненавидят за то, кто я есть, чем любят за то, кем я не являюсь."
8,Ни одна женщина не сможет принести вам столько удовольствия как две…
9,"Если ты положил глаз на мою девушку, значит он у тебя лишний."
10,Царапины на спине от одной девушки могут легко превратиться в царапины на морде от другой.
11,"Мужчина не тот у кого есть женщина, а тот - кто ее бережет."
12,"На самом деле я добрый, только об этом никто не знает, а те, кто знал, уже никому не расскажут."
13,"Мужчину должны украшать три вещи: порядочность, характер и поступки, а не дешёвые понты, завышенная самооценка и длинный язык."
14,"Выходные проходят отлично: бухаю и тр*хаюсь… Шучу, конечно… Потягиваю пивко и наслаждаюсь обществом женщин… "
15,"Не закрывай рта тем, кто открывает тебе глаза. И твердо став на ноги, не забывай тех, кто поднимал тебя на руках."
16,"Самая замечательная фраза, которую слышал от девушки: «Все равно уговоришь! Так чего время терять, поехали ко мне…»"
17,"Мне не нужна самая красивая девушка. Мне нужна искренне любящая меня, а королевой я ее сам сделаю."
18,"Ищу хорошую девушку, которая умеет то же, что и плохая, только хорошо."
19,Есть только два критерия: есть мурашки - нет мурашек. Всё. И так во всём. Тебя или торкает или нет. Всё остальное хуета плюшевая...
20,Мне бы водки цистерну и баб деревеньку… Я бы пил потихоньку… Ну и баб…помаленьку!!!
21,"Верного пути не существует, выбираешь сам и сам рискуешь..."
22,"Хочу себе мерс, но денег только на девятку, и то «балтику»."
23,"Ласка одной львицы лучше, чем гарем дешевых гиен."
24,Вчера приходит смс: «Я не могу тебя забыть!» Пипец … А я вспомнить …
25,"Привыкнешь выживать - забудешь, как жить."
26,"Девушки, которые думают, что меняют парней как перчатки, расслабьтесь, вы просто идёте по рукам!"
27,"Когда ты не паришься, все получается гораздо лучше."
28,"Жизнь без брюнетки, как чай – без конфетки!"
29,"Важно идти, не важно, медленно или быстро, достаточно просто идти … если идешь, ты движешься вперед..."
30,"Мы, пацаны, не обижаемся — мы делаем выводы!"
31,Друзья стоят друг за друга до конца. До самого гребного конца!
32,Хорошие мальчики нравятся только родителям. Вот пусть родители их и трахают.
33,"На дворе дрова, на дровах братва, у братвы трава, вся братва в дрова."
34,Если пацан посадил девушку за руль своей машины – 100% он ее любит.
35,"Лучше красиво делать, чем красиво говорить."
36,"Хватит думать сутками о человеке, который не задумывался о тебе даже на час."
37,"Отключи телефон, не заходи в контакт, и ты узнаешь, сколько у тебя настоящих друзей."
38,"На дворе дрова, на дровах братва, у братвы трава вся братва в дрова."
39,"Только исследовав многих женщин, мужчина может понять себя."
40,"Свои всегда поймут, свои всегда помогут. Спасибо пацанам, родителям, спасибо Богу."
41,"Так хочется встретить рассвет с тем, о ком постоянно думаешь перед сном!"
42,"Тренируйся с тем, кто выжимает больше тебя или бегает быстрее. В гонке за лидером ты растешь в два раза быстрее."
43,Сможешь сломать свой страх и не кто не сможет сломать тебя.
44,"Если что не понял — читай по губам: «фак мусарам, свободу пацанам»."
45,Если любишь — люби без обмана. Если веришь — то верь до конца. Ненавидишь — скажи это прямо. А если смеёшься — то смейся в глаза.
46,"Пусть лучше в мышцах будет боль, чем наркота и алкоголь!"
47,"Брат – это тот, кто не наглеет, даже если ты разрешаешь ему многое."
48,"Бывают такие ошибки, за которые даже перед собой стыдно."
49,"Пацаны! В этом Мире нужно бить, а не давать сдачи!"
50,Пацан сказал – пацан сделал! Пацан не сделал – пацан пошутил!
51,"Кому нибудь мы обязательно понадобимся такими, какие мы есть."
52,"Он хамил так, как будто у него в кармане лежала запасная челюсть."
53,"Можно попытаться решить всё разговором, но недолго."
54,Только в сложной ситуации узнаешь есть ли у тебя настоящие друзья.
55,Никогда не поздно поставить новую цель или обрести новую мечту.
56,"Пацан симпатяга, по жизни бродяга. Походка блатная, жизнь воровская, бродяга по жизни, вор по нужде. Кайфарик по масти, романтик в душе…"
57,"Ничто не защищает ваши зубы 24 часа так, как нормальное отношение ко мне!"
58,"Бывает, что крест, поставленный на человеке, его единственный плюс."
59,"Цените тех, кто не рассказывает больше, чем надо."
60,"Настоящая Братва — это единицы из сотен, что своих не бросали."
61,"Братва — это не когда вас много, а когда несколько, но достойных!"
62,"Все мы пацаны думаем, что сильнее девушек, но для каждого пацана найдется та, которая заставит не спать ночами."
63,За слезы сестры — можно убить. За счастье матери — можно мужскую слезу пустить. За отца — жизнь отдать. За брата — перед пулей встать. За друга — любого порвать!
64,"Брат может не быть другом, но друг всегда брат."
65,Самые надёжные профилактические меры – держаться от нашей братвы подальше.
66,Брат запомни: Мы никогда не оставим тебя в беде!
67,"Мужик не кактус, ему пить надо."
68,"Цитаты для пацанов — И пожелаю я братве фартовой воли на земле, здоровья, духу, пацаны, и пусть не трогают менты!"
69,"Не жди пощады от врага и бей всегда наверняка, пусть ты в крови и весь избит в душе твоей всегда гранит."
70,"Может и не получится , но попробовать стоит всегда."
71,"Братва – больше, чем клятва."
72,"У меня нет пушки, нет толпы за спиной, но есть пару кентов которые хоть в ад пойдут со мной!"
73,"Мне без разницы – красные, черные, я всех одинаково бью."
74,Пацан захотел – пацан сделал. Пацан не захотел – пацан не сделал. Пацан не захотел и сделал – пацан женат.
75,"Месть — это не проявление силы. Отнять жизнь может каждый, но чтобы подарить жизнь, для этого действительно нужна сила."
76,"Меня знают многие, но лишь единицы знают, какой я на самом деле."
77,"Силён не тот, кто может выпутаться из всех ситуаций, а тот, кто в самых серьёзных из них может позвонить друганам."
78,"Не прощай предательство. Никому. Никогда. Обманули раз, а значит обманут и второй."
79,"Кровь это не то, что течёт в твоих жилах. Это то, что брат отдаст за брата!"
80,"Пацан – это пацан, который заткнёт, наорёт, запретит, и ты будешь слушаться… А мальчик – он просто обидится."
81,"Не льстите себе, переспав с крутой фотомоделью. Может, ей просто интересно? Как это? С лохом?"
82,"Когда у меня будет сын, я дам ему то, чего не было у меня!"
83,"Даже если я собьюсь с пути, я знаю, где живёт мой брат."
84,"Никто не забыт, ничто не забыто."
85,"Каждый может огорчить реального пацана, но не каждый успевает извиниться!"
86,"Да плюньте вы на свои бицепсы, нормальные пацаны давно уже качают нефть!"
87,В жизни так бывает — пацаны своих теряют Но не когда не забывают!
88,"Запомни братишка одну благодать, не ждет тебя телка, а ждет тебя Мать!"
89,Кто жмёт руки – необязательно друг.
90,"Все без всех могут жить, не надо соплей, мы будем забыты эпохой, и по*уй."
91,"Живи, люби, кради, гуляй, купи весь мир, потом отдай! всегда лишь помни вещь одну не забывай свою братву !"
92,Самым лучшим уроком в жизни для пацанов всегда останется армия!
93,"Вспомни себя год назад. Много что изменилось. Одни стали ближе, другие ушли."
94,"Если человек сильный, это не значит, что ему не больно."
95,"Если тебя заставляют выбирать между девушкой и братвой – ты знаешь, что выбрать…"
96,"Если возле моего сына хоть воздух дунет, я тебя на ремни порежу."
97,"Если мужчина открывает дверь машины жене, значит это или новая машина, или новая жена."
98,"И я живу лишь вами, своими пацанами, прозрачными дворами, открытыми домами, все будет хорошо, держаться нужно с нами, цени друзей, что проверял годами."
99,"Дикий гордый. Никому не покорный. Борзый дерзкий как пуля резкий. Никому не обязан, ни к чему не привязан, никому не подобен, потому и свободен."
100,"Делаешь — не бойся, боишься — не делай, а сделал — не сожалей."
101,Розы любят воду… пацаны свободу… розы гибнут на газонах… пацаны на красных зонах…
102,"Настоящий друг – это тот, кто на фразу:” я убил” отвечает:”где труп?”."
103,"Не знаю, как вы, а я хочу реально кого-то полюбить, и быть с этим человеком долго-долго."
104,Не предает лишь автомобиль и собака.
105,"Пацан должен отвечать за свои слова, либо он не пацан!"
106,"Бывает, ради человека бросаешь всех, а он ради всех бросает тебя."
107,"Мы не прощаем людей не за то, что они нас обманули, а за то, что мы им верили."
108,"Все говорят: изменись, и все за тобой потянуться. А я лучше останусь собой, и посмотрю, кто со мной останется!"
109,"Я молодой, но с богатым опытом и мудрыми мыслями."
110,Я не Минздрав — предупреждать не буду.
111,"Мудрецу даны знания, мужику умения, пацану — понятия…"
112,Иметь хороших друзей — одна из лучших ценностей жизни.
113,Гордость парня — это порядочность его девушки.
114,"Думать надо головой, любить — сердцем, чуять — *опой, и самое главное — ничего не перепутать."
115,"Не бойся драться с теми, кто сильней — непобедимых не существует."
116,"Живи ярко, бей чётко. Ты же реальный пацан, а не пафосная тёлка!"
117,Два пацана послали друг — друга нахер и пошли туда вместе. Вот это дружба.
118,"Если вам плохо — крепко обнимите кота. Вот и всё. Теперь плохо не только вам, но и коту."
119,"Мне неважно, прав он или нет, он мой брат, и я тебя за него разорву!"
120,"Спасибо отец, ты воспитал мужчину, и будь уверен, я воспитаю также сына!"
121,"Однажды, я приеду и заберу то, что мне принадлежит."
122,"Брат, знай! В драке за тебя пойдут твои пацаны, а не продажные бляди!"
123,"Уважай Братву, если согрешишь — только она сможет помочь тебе."
124,"Береги ту, которую любишь, чтобы потом не пришлось жить с той, которая досталась."
125,"Серьезный пацан любит ту девушку, от которой трудно добиться любви."
126,"Мне не важно прав он или нет, он мой брат, и я тебя за него разорву!"
127,"Маме — поддержку, пацанам — уважение, девушке — любовь, для души — рэпчик."
128,"Не тратьте время на людей, у которых нет времени на вас."
129,"Если жить, то красиво. Если взгляд, то четкий. Если надеяться, то только на себя. Если любить, то всем сердцем."
130,"Пацаны делятся на 2 типа: 1 — которые могут занести холодильник на 5 этаж, 2 — те которые могут за это заплатить."
131,Если человек вам не нужен — скажите ему об этом сразу. Не надо играть чужими чувствами. Жизнь невероятно мстительна.
132,"Иномарки для понтов, а ТАЗы для пацанов."
133,"Живи, люби, кради, гуляй, купи весь мир, потом отдай! Всегда лишь помни вещь одну не забывай свою братву !"
134,"Друзей выбираем мы сами, но лучших оставляет время."
135,Четкие статусы для пацанов — Для нас нет закона — мы пацаны с района.
136,"Всех порву за семью, за братву и за любимую мою!"
137,"В жизни надо быть упёртым, но не бараном."
138,"Реального пацана должна украшать одна принцесса, а не стадо овец…"
139,"И дай вам Бог вдвойне, чего желаете вы мне."
140,"Девушку найти хотел одну, с которой прожить смогу, а нашел без которой не смогу, за нее любому пасть порву, пацаны, я ее люблю…"
141,Для нас нет закона — мы пацаны с района.
142,"Слушай всех, прислушивайся к немногим, решай сам."
143,"Мужчине в жизни бывает стыдно только два раза: первый раз — когда не встал второй раз, и второй раз — когда не встал первый раз."
144,"Не важно сколько у тебя друзей, важно, помогут ли они тебе в трудной ситуации!"
145,"Пацаны, берегите своих девочек."
146,"Счастье не в деньгах, но грустить лучше в BMW, чем в маршрутке."
147,"Живи, братуха, и не думай, что кто—то про тебя забыл. Друзья не забывают друга, а кто забыл, тот не был им."
148,"Если жизнь дала трещину, не надо лить в нее водку."
149,"Чем меньше город, тем круче пацаны."
150,"Будь самим собой, имей свою точку зрения, умей постоять за себя и за своих близких и тебя будут уважать!"
151,"Тазы решают, пацаны качают."
152,"Жизнь, братан — это волчья тропа, по которой нужно пройти оскалив зубы, но при этом остаться человеком."
153,"Вот, бывает. Ты даешь человеку понять, что он тебе нужен, а он все равно уходит от тебя…"
154,"Судить меня дано лишь Богу, другим я укажу дорогу."
155,"Настоящий пацан не будет трепаться о ней после расставания. Он скажет: «Братан, я и сейчас оторву голову любому, кто её обидит!»"
156,"Не важно, кто напротив. Важно, кто рядом."
157,"Еще и тачка закатана со лбом, под сиденьем ствол, большие диски, голубой ксенон."
158,Задумайтесь прежде чем выжимать газ в пол…
159,Принцип пацанский. Поляна по-царски. Всегда для своих — от души и по-братски.
160,"А ты попробуй меня найти, когда отключены телефоны и нет меня в сети."
161,"Своя компания — это компания, в которой можно не думать, когда говоришь"
162,"Родители – это такие люди, которые гоняют авторитетных пацанов за хлебом."
163,"Не бойтесь когда я ругаюсь, кричу и выражаю свои эмоции. Бойтесь — когда я молчу."
164,"Если девушка сама делает первый шаг, поверь, ты ей реально дорог!"
165,"Сколько бы времени мы не провели вместе, мне всегда будет мало."
166,"Уважаю пацанов, которые запрещают своим девушкам пить и курить."
167,"Дружба — это самое дорогое , что есть на улицах…"
168,"Уже поздно возвращаться назад, чтобы все правильно начать, но еще не поздно устремиться вперед, чтобы все правильно закончить."
169,"Брат, запомни! Я встану за тебя, даже если ты не прав."
170,"Братан, ты набери приеду помогу, чем смогу."
171,"Запомни меня таким: странным, грубым и нервным, я не казался святым, но был тебе верным."
172,"Пацан глазами любит всех, а сердцем одну."
173,"Дембель Гриша, вернувшийся домой, еще по надписям в лифте понял, что Маша его не дождалась."
174,"Она хамила так, как будто у нее в кармане лежала запасная челюсть…"
175,Улыбку дарю всем. Взгляд — немногим. Сердце — одной.
176,"Бей первым, пацан, бей первым всегда. Пропустишь удар и будет беда. За мать, за друзей, за отца, бей первым по жизни всегда!"
177,"На маму не кричи, она не виновата, что у тебя не все как надо…"
178,Иметь хороших друзей — одна из лучших ценностей жизни..
179,"Не избегай драки, раны заживут быстрее, чем самооценка."
180,"Для начало разговором решить, если не поймет, то об асфальт черпани вниз головой ))"
181,"С*ка, если я терплю, не означает, что мне не больно."
182,Никто не знает как любит сердце пацана.
183,"Спасибо отец , ты воспитал мужчину , и будь уверен , я воспитаю также сына!"
184,"Не тот силён, кто не упал, а тот кто падал… но вставал."
185,"Что любит отец, то и сыну по душе."
186,И стоя на коленях: спасибо нашим дедам!
187,"Дружите с пацанами, среди них нет овец."
188,"Никогда не жалей о своих ошибках, ведь не сделав их, ты никогда не узнаешь как делать правильно."
189,"Не надо заставлять детей учить английский. Пускай, лучше изучают автомат Калашникова. И тогда скоро весь мир заговорит по-русски."
190,"Я люблю тебя, как дебил."
191,"Хочу тот день, когда я приду к братве и гордо скажу: «Пацаны, у меня сын!»"
192,"Не судите меня за прошлое, я не живу там больше."
193,"Будет и удача, будет и везение, и нельзя иначе — нужно лишь терпение!"
194,"Упал — встань, а встал — иди."
195,"У каждого человека бывает такой период в жизни, когда ему кажется, что он никому не нужен."
196,"Я буду ценить всегда только тех, кто со мной до последнего."
197,"Статусы со смыслом для пацанов — У меня нет пушки, нет толпы за спиной, но есть пара пацанов, которые хоть в ад пойдут со мной…"
